state,county,avg_price,total_price,total_transactions
West Virginia,Clay County,109383.72972972973,4047198.0,37.0
West Virginia,Logan County,1502431.5180722892,124701816.0,83.0
West Virginia,Nicholas County,555440.9672131147,33881899.0,62.0
West Virginia,Mason County,260277.40229885056,22644134.0,87.0
West Virginia,Jackson County,232642.71794871794,27219198.0,117.0
West Virginia,Calhoun County,166646.16279069768,7165785.0,43.0
West Virginia,Gilmer County,205629.62962962964,5552000.0,27.0
West Virginia,Berkeley County,321328.0342897131,459177761.0,1429.0
West Virginia,Jefferson County,403780.88705583755,318179339.0,788.0
West Virginia,Morgan County,223913.11464968152,70308718.0,314.0
West Virginia,Hampshire County,138968.54166666666,56699165.0,408.0
West Virginia,Lincoln County,108009.75,4752429.0,44.0
West Virginia,Cabell County,191433.13888888888,89590709.0,468.0
West Virginia,Wayne County,123345.53913043479,14184737.0,115.0
West Virginia,Ohio County,205454.19339622642,43556289.0,212.0
West Virginia,Brooke County,176433.75939849624,23465690.0,134.0
West Virginia,Marshall County,126262.09090909091,9722181.0,77.0
West Virginia,Hancock County,161348.75895765473,49534069.0,307.0
West Virginia,Wood County,232042.95921985817,130872229.0,564.0
West Virginia,Pleasants County,140177.5,5607100.0,40.0
West Virginia,Tyler County,98653.33333333333,2367680.0,24.0
West Virginia,Wirt County,123900.03846153847,3221401.0,26.0
West Virginia,Ritchie County,263116.0535714286,14734499.0,56.0
West Virginia,Wetzel County,161476.3725490196,8235295.0,51.0
West Virginia,Upshur County,193055.4110429448,31468032.0,163.0
West Virginia,Webster County,109975.0,2199500.0,20.0
West Virginia,Randolph County,228204.8365758755,58648643.0,257.0
West Virginia,Barbour County,126014.69306930693,12727484.0,101.0
West Virginia,Tucker County,244764.8826530612,47973917.0,196.0
West Virginia,Harrison County,194759.58174904942,102443540.0,526.0
West Virginia,Lewis County,171303.56756756757,19014696.0,111.0
West Virginia,Doddridge County,165103.44827586206,4788000.0,29.0
West Virginia,Braxton County,141937.70769230768,9225951.0,65.0
West Virginia,Taylor County,168425.35483870967,15663558.0,93.0
West Virginia,Preston County,176242.03050847456,51991399.0,295.0
West Virginia,Monongalia County,273957.7828719723,316695197.0,1156.0
West Virginia,Marion County,215084.4721030043,100229364.0,466.0
West Virginia,Grant County,155149.2626262626,15359777.0,99.0
West Virginia,Mineral County,134023.859922179,34444132.0,257.0
West Virginia,Hardy County,203817.4467005076,40152037.0,197.0
West Virginia,Pendleton County,294180.95238095237,18533400.0,63.0
North Carolina,Davie County,283372.18529411766,96346543.0,346.0
North Carolina,Surry County,212996.15287769784,118425861.0,560.0
North Carolina,Forsyth County,275017.2959710744,1064866970.0,3976.0
North Carolina,Yadkin County,245236.93529411763,41690279.0,174.0
North Carolina,Rowan County,252973.32887700535,189224050.0,748.0
North Carolina,Stokes County,226868.34375,87117444.0,402.0
North Carolina,Rockingham County,192617.00327868853,117496372.0,623.0
North Carolina,Alamance County,319401.5726495726,261589888.0,831.0
North Carolina,Randolph County,207453.257518797,110365133.0,533.0
North Carolina,Chatham County,612508.5933014354,128014296.0,209.0
North Carolina,Montgomery County,218125.3033707865,38826304.0,178.0
North Carolina,Caswell County,145022.26829268291,17837739.0,123.0
North Carolina,Guilford County,322067.7606490872,1111455842.0,3518.0
North Carolina,Orange County,676338.4029850747,226573365.0,335.0
North Carolina,Lee County,341302.93823529413,116042999.0,340.0
North Carolina,Davidson County,222171.35561497326,249276261.0,1155.0
North Carolina,Moore County,371668.43,557502645.0,1500.0
North Carolina,Person County,248900.7165775401,46544434.0,187.0
North Carolina,Harnett County,354403.33507853403,135382074.0,382.0
North Carolina,Wake County,640704.1046770602,1438380715.0,2245.0
North Carolina,Durham County,508994.72280178836,341535459.0,671.0
North Carolina,Johnston County,382632.8657487091,222309695.0,581.0
North Carolina,Granville County,470157.3524590164,57359197.0,122.0
North Carolina,Franklin County,310660.13168724277,75490412.0,243.0
North Carolina,Wayne County,242168.18734793187,99531125.0,411.0
North Carolina,Vance County,166107.9819004525,36709864.0,221.0
North Carolina,Warren County,209166.2808988764,18615799.0,89.0
North Carolina,Edgecombe County,167295.22520107238,62401119.0,373.0
North Carolina,Nash County,208385.51286764705,113361719.0,544.0
North Carolina,Bertie County,113241.52380952382,16646504.0,147.0
North Carolina,Beaufort County,179355.33830845772,108151269.0,603.0
North Carolina,Pitt County,255263.96219686163,357880075.0,1402.0
North Carolina,Wilson County,221762.46279069767,95357859.0,430.0
North Carolina,Hertford County,108995.67883211678,14932408.0,137.0
North Carolina,Northampton County,229982.75862068965,20008500.0,87.0
North Carolina,Halifax County,215815.2278177458,89994950.0,417.0
North Carolina,Hyde County,575778.1636363637,31667799.0,55.0
North Carolina,Martin County,133361.35877862596,17470338.0,131.0
North Carolina,Greene County,162188.7142857143,10217889.0,63.0
North Carolina,Pasquotank County,230028.74291497975,113634199.0,494.0
North Carolina,Dare County,670219.5473684211,509366856.0,760.0
North Carolina,Currituck County,533143.1489361703,350808192.0,658.0
North Carolina,Perquimans County,164461.43971631204,46378126.0,282.0
North Carolina,Camden County,278482.7948717949,32582487.0,117.0
North Carolina,Tyrrell County,120834.61538461539,6283400.0,52.0
North Carolina,Gates County,172082.3188405797,11873680.0,69.0
North Carolina,Washington County,226306.98,11315349.0,50.0
North Carolina,Chowan County,172011.06737588652,48507121.0,282.0
North Carolina,Stanly County,277754.13410596026,167763497.0,604.0
North Carolina,Gaston County,292942.9961411246,531398595.0,1814.0
North Carolina,Anson County,162869.9927536232,22476059.0,138.0
North Carolina,Iredell County,436574.807238395,554886580.0,1271.0
North Carolina,Cleveland County,224394.36712328767,163807888.0,730.0
North Carolina,Rutherford County,184474.56368821292,194067241.0,1052.0
North Carolina,Cabarrus County,455554.998489426,301577409.0,673.0
North Carolina,Mecklenburg County,486924.00169368496,4024913798.0,8273.0
North Carolina,Lincoln County,400423.6627027027,370391888.0,925.0
North Carolina,Union County,567887.226446281,687143544.0,1210.0
North Carolina,Cumberland County,260554.90096038414,434084465.0,1666.0
North Carolina,Sampson County,165864.11678832117,45446768.0,274.0
North Carolina,Robeson County,180766.28537170263,75379541.0,417.0
North Carolina,Bladen County,260343.37142857144,27336054.0,105.0
North Carolina,Duplin County,175686.48511904763,59030659.0,336.0
North Carolina,Richmond County,186654.3245283019,49463396.0,265.0
North Carolina,Scotland County,143776.53784860557,36087911.0,251.0
North Carolina,Hoke County,298491.2479338843,72234882.0,242.0
North Carolina,New Hanover County,572253.4460116732,1176553085.0,2056.0
North Carolina,Brunswick County,327595.4947272019,1681220078.94,5132.0
North Carolina,Pender County,351435.02416918427,348974979.0,993.0
North Carolina,Columbus County,147448.95789473684,56030604.0,380.0
North Carolina,Onslow County,282009.03529127385,1166671379.0,4137.0
North Carolina,Lenoir County,132018.33455882352,35908987.0,272.0
North Carolina,Pamlico County,177312.2105263158,84223300.0,475.0
North Carolina,Carteret County,449089.25722543354,621539532.0,1384.0
North Carolina,Craven County,252295.68514412417,341356062.0,1353.0
North Carolina,Jones County,252904.0,40717544.0,161.0
North Carolina,Catawba County,283727.5740592474,354375740.0,1249.0
North Carolina,Avery County,317004.82080924854,329051004.0,1038.0
North Carolina,Watauga County,351633.99104143336,314009154.0,893.0
North Carolina,Wilkes County,263314.5,191166327.0,726.0
North Carolina,Caldwell County,158460.24242424243,125500512.0,792.0
North Carolina,Burke County,159941.6942328618,146986417.0,919.0
North Carolina,Ashe County,158695.77956989247,147587075.0,930.0
North Carolina,Alleghany County,137760.9918699187,67778408.0,492.0
North Carolina,Alexander County,162547.12403100776,41937158.0,258.0
